dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
trec-dl-2019,1037798,summarization_with_t5-base,naturality,who is robert gray,robert gray is,TRUE,TRUE
trec-dl-2019,1063750,summarization_with_t5-base,naturality,why did the us volunterilay enter ww1,why did the us volunteri,FALSE,TRUE
trec-dl-2019,1103812,summarization_with_t5-base,naturality,who formed the commonwealth of independent states,the commonwealth of independent,FALSE,FALSE
trec-dl-2019,1106007,summarization_with_t5-base,naturality,define visceral,visceral,TRUE,TRUE
trec-dl-2019,1110199,summarization_with_t5-base,naturality,what is wifi vs bluetooth,wifi vs bluetooth  what,TRUE,TRUE
trec-dl-2019,1112341,summarization_with_t5-base,naturality,what is the daily life of thai people,thai people live,TRUE,TRUE
trec-dl-2019,1113437,summarization_with_t5-base,naturality,what is physical description of spruce,spruce is a,TRUE,TRUE
trec-dl-2019,1114646,summarization_with_t5-base,naturality,what is famvir prescribed for,famvir is a,TRUE,TRUE
trec-dl-2019,1114819,summarization_with_t5-base,naturality,what is durable medical equipment consist of,durable medical equipment consist of,TRUE,TRUE
trec-dl-2019,1115776,summarization_with_t5-base,naturality,what is an aml surveillance analyst,aml surveillance analyst  what is,TRUE,FALSE
trec-dl-2019,1117099,summarization_with_t5-base,naturality,what is a active margin,what is a active,FALSE,FALSE
trec-dl-2019,1121402,summarization_with_t5-base,naturality,what can contour plowing reduce,contour plowing  what can contour,FALSE,FALSE
trec-dl-2019,1121709,summarization_with_t5-base,naturality,what are the three percenters,what are the three percent,FALSE,FALSE
trec-dl-2019,1124210,summarization_with_t5-base,naturality,tracheids are part of,tracheids are,TRUE,TRUE
trec-dl-2019,1129237,summarization_with_t5-base,naturality,hydrogen is a liquid below what temperature,hydrogen is a liquid below what,FALSE,FALSE
trec-dl-2019,1133167,summarization_with_t5-base,naturality,how is the weather in jamaica,the weather in jamaica is,TRUE,TRUE
trec-dl-2019,131843,summarization_with_t5-base,naturality,definition of a sigmet,sigmet  what is,TRUE,FALSE
trec-dl-2019,146187,summarization_with_t5-base,naturality,difference between a mcdouble and a double cheeseburger,mcdouble and double cheese,TRUE,TRUE
trec-dl-2019,148538,summarization_with_t5-base,naturality,difference between rn and bsn,rn and bs,FALSE,TRUE
trec-dl-2019,156493,summarization_with_t5-base,naturality,do goldfish grow,goldfish grow,TRUE,TRUE
trec-dl-2019,168216,summarization_with_t5-base,naturality,does legionella pneumophila cause pneumonia,legionella pneumophila,FALSE,TRUE
trec-dl-2019,207786,summarization_with_t5-base,naturality,how are some sharks warm blooded,how are some sharks warm blood,TRUE,FALSE
trec-dl-2019,264014,summarization_with_t5-base,naturality,how long is life cycle of flea,flea life cycle  how long,TRUE,FALSE
trec-dl-2019,359349,summarization_with_t5-base,naturality,how to find the midsegment of a trapezoid,how to find the midse,FALSE,FALSE
trec-dl-2019,405717,summarization_with_t5-base,naturality,is cdg airport in main paris,cdg airport in main,FALSE,FALSE
trec-dl-2019,451602,summarization_with_t5-base,naturality,medicare s definition of mechanical ventilation,medicare s definition of mechanical,FALSE,FALSE
trec-dl-2019,47923,summarization_with_t5-base,naturality,axon terminals or synaptic knob definition,axon terminals or,FALSE,FALSE
trec-dl-2019,527433,summarization_with_t5-base,naturality,types of dysarthria from cerebral palsy,types of dysarthri,FALSE,FALSE
trec-dl-2019,573724,summarization_with_t5-base,naturality,what are the social determinants of health,social determinants of health,TRUE,TRUE
trec-dl-2019,833860,summarization_with_t5-base,naturality,what is the most popular food in switzerland,the most popular food in s,FALSE,FALSE
trec-dl-2019,855410,summarization_with_t5-base,naturality,what is theraderm used for,theraderm is a,TRUE,TRUE
trec-dl-2019,87181,summarization_with_t5-base,naturality,causes of left ventricular hypertrophy,links ventricular hypertrophy,FALSE,FALSE
trec-dl-2019,915593,summarization_with_t5-base,naturality,what types of food can you cook sous vide,what types of food can you cook,FALSE,FALSE
trec-dl-2019,962179,summarization_with_t5-base,naturality,when was the salvation army founded,the salvation army was founded in 18,FALSE,FALSE
trec-dl-2019,1037798,summarization_with_t5-base_from_description_to_title,naturality,who is robert gray,robert gray,TRUE,TRUE
trec-dl-2019,1063750,summarization_with_t5-base_from_description_to_title,naturality,why did the us volunterilay enter ww1,volunterilay ww,FALSE,FALSE
trec-dl-2019,1103812,summarization_with_t5-base_from_description_to_title,naturality,who formed the commonwealth of independent states,commonwealth of independent states,TRUE,TRUE
trec-dl-2019,1106007,summarization_with_t5-base_from_description_to_title,naturality,define visceral,visceral,TRUE,TRUE
trec-dl-2019,1110199,summarization_with_t5-base_from_description_to_title,naturality,what is wifi vs bluetooth,wifi vs bluetooth,TRUE,TRUE
trec-dl-2019,1112341,summarization_with_t5-base_from_description_to_title,naturality,what is the daily life of thai people,thai life,TRUE,TRUE
trec-dl-2019,1113437,summarization_with_t5-base_from_description_to_title,naturality,what is physical description of spruce,spruce physical description,TRUE,TRUE
trec-dl-2019,1114646,summarization_with_t5-base_from_description_to_title,naturality,what is famvir prescribed for,famvir,TRUE,TRUE
trec-dl-2019,1114819,summarization_with_t5-base_from_description_to_title,naturality,what is durable medical equipment consist of,durable medical equipment,TRUE,TRUE
trec-dl-2019,1115776,summarization_with_t5-base_from_description_to_title,naturality,what is an aml surveillance analyst,aml surveillance analyst,TRUE,TRUE
trec-dl-2019,1117099,summarization_with_t5-base_from_description_to_title,naturality,what is a active margin,active margin,TRUE,TRUE
trec-dl-2019,1121402,summarization_with_t5-base_from_description_to_title,naturality,what can contour plowing reduce,contour plowing,TRUE,TRUE
trec-dl-2019,1121709,summarization_with_t5-base_from_description_to_title,naturality,what are the three percenters,three percenters,TRUE,TRUE
trec-dl-2019,1124210,summarization_with_t5-base_from_description_to_title,naturality,tracheids are part of,tracheoids,TRUE,TRUE
trec-dl-2019,1129237,summarization_with_t5-base_from_description_to_title,naturality,hydrogen is a liquid below what temperature,hydrogen liquid below what temperature,TRUE,TRUE
trec-dl-2019,1133167,summarization_with_t5-base_from_description_to_title,naturality,how is the weather in jamaica,jamaica weather,TRUE,TRUE
trec-dl-2019,130510,summarization_with_t5-base_from_description_to_title,naturality,definition declaratory judgment,declaratory judgment,TRUE,TRUE
trec-dl-2019,131843,summarization_with_t5-base_from_description_to_title,naturality,definition of a sigmet,sigmet,TRUE,TRUE
trec-dl-2019,146187,summarization_with_t5-base_from_description_to_title,naturality,difference between a mcdouble and a double cheeseburger,mcdouble cheeseburger,TRUE,TRUE
trec-dl-2019,148538,summarization_with_t5-base_from_description_to_title,naturality,difference between rn and bsn,difference between rn and,FALSE,FALSE
trec-dl-2019,156493,summarization_with_t5-base_from_description_to_title,naturality,do goldfish grow,goldfish,TRUE,TRUE
trec-dl-2019,168216,summarization_with_t5-base_from_description_to_title,naturality,does legionella pneumophila cause pneumonia,legionella pneumophila,FALSE,FALSE
trec-dl-2019,182539,summarization_with_t5-base_from_description_to_title,naturality,example of monotonic function,monotonic function,TRUE,TRUE
trec-dl-2019,183378,summarization_with_t5-base_from_description_to_title,naturality,exons definition biology,exons biology,TRUE,TRUE
trec-dl-2019,19335,summarization_with_t5-base_from_description_to_title,naturality,anthropological definition of environment,environment anthropology,TRUE,TRUE
trec-dl-2019,207786,summarization_with_t5-base_from_description_to_title,naturality,how are some sharks warm blooded,sharks warm blooded,TRUE,TRUE
trec-dl-2019,264014,summarization_with_t5-base_from_description_to_title,naturality,how long is life cycle of flea,flea life cycle,TRUE,TRUE
trec-dl-2019,359349,summarization_with_t5-base_from_description_to_title,naturality,how to find the midsegment of a trapezoid,trapezoidal midseg,TRUE,TRUE
trec-dl-2019,405717,summarization_with_t5-base_from_description_to_title,naturality,is cdg airport in main paris,paris cdg airport,TRUE,TRUE
trec-dl-2019,443396,summarization_with_t5-base_from_description_to_title,naturality,lps laws definition,lps laws,TRUE,TRUE
trec-dl-2019,451602,summarization_with_t5-base_from_description_to_title,naturality,medicare s definition of mechanical ventilation,medicare mechanical ventilation,TRUE,TRUE
trec-dl-2019,47923,summarization_with_t5-base_from_description_to_title,naturality,axon terminals or synaptic knob definition,axon terminals or,FALSE,FALSE
trec-dl-2019,489204,summarization_with_t5-base_from_description_to_title,naturality,right pelvic pain causes,pelvic pain,FALSE,FALSE
trec-dl-2019,527433,summarization_with_t5-base_from_description_to_title,naturality,types of dysarthria from cerebral palsy,cerebral palsy dysarthr,TRUE,TRUE
trec-dl-2019,573724,summarization_with_t5-base_from_description_to_title,naturality,what are the social determinants of health,social determinants of health,TRUE,TRUE
trec-dl-2019,833860,summarization_with_t5-base_from_description_to_title,naturality,what is the most popular food in switzerland,food in switzerland,TRUE,TRUE
trec-dl-2019,855410,summarization_with_t5-base_from_description_to_title,naturality,what is theraderm used for,theraderm,TRUE,TRUE
trec-dl-2019,87181,summarization_with_t5-base_from_description_to_title,naturality,causes of left ventricular hypertrophy,left ventricular hypertrophy,FALSE,FALSE
trec-dl-2019,87452,summarization_with_t5-base_from_description_to_title,naturality,causes of military suicide,military suicide,TRUE,TRUE
trec-dl-2019,915593,summarization_with_t5-base_from_description_to_title,naturality,what types of food can you cook sous vide,sous vide food,TRUE,TRUE
trec-dl-2019,962179,summarization_with_t5-base_from_description_to_title,naturality,when was the salvation army founded,salvation army,TRUE,TRUE
trec-dl-2019,1037798,back_translation_pivot_language_de,paraphrase,who is robert gray,who is robert grey,FALSE,FALSE
trec-dl-2019,104861,back_translation_pivot_language_de,paraphrase,cost of interior concrete flooring,cost of internal concrete,FALSE,FALSE
trec-dl-2019,1063750,back_translation_pivot_language_de,paraphrase,why did the us volunterilay enter ww1,why the u s  volunterilay entered ww1,TRUE,TRUE
trec-dl-2019,1103812,back_translation_pivot_language_de,paraphrase,who formed the commonwealth of independent states,the common wealth of independent states,FALSE,FALSE
trec-dl-2019,1106007,back_translation_pivot_language_de,paraphrase,define visceral,do you define visceral,TRUE,TRUE
trec-dl-2019,1112341,back_translation_pivot_language_de,paraphrase,what is the daily life of thai people,what is the daily life of the thai people,TRUE,TRUE
trec-dl-2019,1113437,back_translation_pivot_language_de,paraphrase,what is physical description of spruce,what is the physical description of spruce,TRUE,TRUE
trec-dl-2019,1114819,back_translation_pivot_language_de,paraphrase,what is durable medical equipment consist of,what is sustainable medical equipment,TRUE,TRUE
trec-dl-2019,1115776,back_translation_pivot_language_de,paraphrase,what is an aml surveillance analyst,what is an aml monitoring analyst,TRUE,TRUE
trec-dl-2019,1117099,back_translation_pivot_language_de,paraphrase,what is a active margin,what is an active margin,TRUE,TRUE
trec-dl-2019,1121402,back_translation_pivot_language_de,paraphrase,what can contour plowing reduce,what can reduce contour plowing,FALSE,FALSE
trec-dl-2019,1121709,back_translation_pivot_language_de,paraphrase,what are the three percenters,what are the three percent,TRUE,TRUE
trec-dl-2019,1129237,back_translation_pivot_language_de,paraphrase,hydrogen is a liquid below what temperature,hydrogen is a fluid under which temperature,TRUE,TRUE
trec-dl-2019,130510,back_translation_pivot_language_de,paraphrase,definition declaratory judgment,definition of declaring judgment,FALSE,FALSE
trec-dl-2019,156493,back_translation_pivot_language_de,paraphrase,do goldfish grow,gold fish grows,TRUE,TRUE
trec-dl-2019,168216,back_translation_pivot_language_de,paraphrase,does legionella pneumophila cause pneumonia,legionella pneumophila causes pneumonia,TRUE,TRUE
trec-dl-2019,182539,back_translation_pivot_language_de,paraphrase,example of monotonic function,examples of monotonous function,FALSE,FALSE
trec-dl-2019,183378,back_translation_pivot_language_de,paraphrase,exons definition biology,exon definition biology,TRUE,TRUE
trec-dl-2019,19335,back_translation_pivot_language_de,paraphrase,anthropological definition of environment,anthropological definition of the environment,TRUE,TRUE
trec-dl-2019,207786,back_translation_pivot_language_de,paraphrase,how are some sharks warm blooded,how are some sharks hot blood,TRUE,TRUE
trec-dl-2019,264014,back_translation_pivot_language_de,paraphrase,how long is life cycle of flea,how long is the life cycle of the flies,TRUE,TRUE
trec-dl-2019,359349,back_translation_pivot_language_de,paraphrase,how to find the midsegment of a trapezoid,how to find the middle segment of a trapezoid,TRUE,TRUE
trec-dl-2019,405717,back_translation_pivot_language_de,paraphrase,is cdg airport in main paris,is cdg airport in the headquarters of paris,TRUE,TRUE
trec-dl-2019,443396,back_translation_pivot_language_de,paraphrase,lps laws definition,lps law definition,TRUE,TRUE
trec-dl-2019,451602,back_translation_pivot_language_de,paraphrase,medicare s definition of mechanical ventilation,doctors define mechanical ventilation,TRUE,TRUE
trec-dl-2019,47923,back_translation_pivot_language_de,paraphrase,axon terminals or synaptic knob definition,axon terminals or synaptic nod definition,FALSE,FALSE
trec-dl-2019,489204,back_translation_pivot_language_de,paraphrase,right pelvic pain causes,causes right pain,FALSE,FALSE
trec-dl-2019,527433,back_translation_pivot_language_de,paraphrase,types of dysarthria from cerebral palsy,types of dysarthria from brain palsy,TRUE,TRUE
trec-dl-2019,573724,back_translation_pivot_language_de,paraphrase,what are the social determinants of health,what are the social factors of health,TRUE,TRUE
trec-dl-2019,855410,back_translation_pivot_language_de,paraphrase,what is theraderm used for,what is theraderm used,TRUE,FALSE
trec-dl-2019,87181,back_translation_pivot_language_de,paraphrase,causes of left ventricular hypertrophy,causes of ventricular hypertrophy,FALSE,FALSE
trec-dl-2019,915593,back_translation_pivot_language_de,paraphrase,what types of food can you cook sous vide,what types of food you can cook under vide,FALSE,FALSE
trec-dl-2019,962179,back_translation_pivot_language_de,paraphrase,when was the salvation army founded,when the rescue army was established,TRUE,TRUE
trec-dl-2019,104861,ramsrigouthamg/t5_paraphraser,paraphrase,cost of interior concrete flooring,what is the cost of interior concrete flooring,TRUE,FALSE
trec-dl-2019,1063750,ramsrigouthamg/t5_paraphraser,paraphrase,why did the us volunterilay enter ww1,why did the us enter ww1,TRUE,TRUE
trec-dl-2019,1106007,ramsrigouthamg/t5_paraphraser,paraphrase,define visceral,what is visceral,TRUE,TRUE
trec-dl-2019,1110199,ramsrigouthamg/t5_paraphraser,paraphrase,what is wifi vs bluetooth,what is the difference between wifi and bluetooth,TRUE,TRUE
trec-dl-2019,1113437,ramsrigouthamg/t5_paraphraser,paraphrase,what is physical description of spruce,what is the physical description of spruce,TRUE,TRUE
trec-dl-2019,1114819,ramsrigouthamg/t5_paraphraser,paraphrase,what is durable medical equipment consist of,what is durable medical equipment,TRUE,TRUE
trec-dl-2019,1117099,ramsrigouthamg/t5_paraphraser,paraphrase,what is a active margin,what is active margin,TRUE,FALSE
trec-dl-2019,1124210,ramsrigouthamg/t5_paraphraser,paraphrase,tracheids are part of,are tracheids a part of,TRUE,FALSE
trec-dl-2019,1129237,ramsrigouthamg/t5_paraphraser,paraphrase,hydrogen is a liquid below what temperature,is hydrogen a liquid below what temperature,TRUE,FALSE
trec-dl-2019,130510,ramsrigouthamg/t5_paraphraser,paraphrase,definition declaratory judgment,what is declaratory judgment,TRUE,TRUE
trec-dl-2019,131843,ramsrigouthamg/t5_paraphraser,paraphrase,definition of a sigmet,what is a sigmet,TRUE,TRUE
trec-dl-2019,146187,ramsrigouthamg/t5_paraphraser,paraphrase,difference between a mcdouble and a double cheeseburger,what is the difference between a double cheeseburger and a mcdouble,TRUE,FALSE
trec-dl-2019,148538,ramsrigouthamg/t5_paraphraser,paraphrase,difference between rn and bsn,what is the difference between rn and bsn,TRUE,FALSE
trec-dl-2019,156493,ramsrigouthamg/t5_paraphraser,paraphrase,do goldfish grow,how do goldfish grow,TRUE,TRUE
trec-dl-2019,182539,ramsrigouthamg/t5_paraphraser,paraphrase,example of monotonic function,what is a monotonic function,FALSE,FALSE
trec-dl-2019,183378,ramsrigouthamg/t5_paraphraser,paraphrase,exons definition biology,what is the exons definition of biology,TRUE,TRUE
trec-dl-2019,19335,ramsrigouthamg/t5_paraphraser,paraphrase,anthropological definition of environment,what is the anthropological definition of environment,TRUE,TRUE
trec-dl-2019,207786,ramsrigouthamg/t5_paraphraser,paraphrase,how are some sharks warm blooded,how do sharks get warm blooded,TRUE,TRUE
trec-dl-2019,264014,ramsrigouthamg/t5_paraphraser,paraphrase,how long is life cycle of flea,how long is the life cycle of fleas,TRUE,TRUE
trec-dl-2019,359349,ramsrigouthamg/t5_paraphraser,paraphrase,how to find the midsegment of a trapezoid,how do you find the midsegment of a trapezoid,TRUE,TRUE
trec-dl-2019,443396,ramsrigouthamg/t5_paraphraser,paraphrase,lps laws definition,what is the definition of lps law,TRUE,TRUE
trec-dl-2019,451602,ramsrigouthamg/t5_paraphraser,paraphrase,medicare s definition of mechanical ventilation,what is the medicare definition of mechanical ventilation,TRUE,TRUE
trec-dl-2019,47923,ramsrigouthamg/t5_paraphraser,paraphrase,axon terminals or synaptic knob definition,what is the difference between axon terminals and synaptic knobs,FALSE,FALSE
trec-dl-2019,489204,ramsrigouthamg/t5_paraphraser,paraphrase,right pelvic pain causes,what causes pelvic pain,TRUE,TRUE
trec-dl-2019,490595,ramsrigouthamg/t5_paraphraser,paraphrase,rsa definition key,what is rsa definition key,TRUE,TRUE
trec-dl-2019,527433,ramsrigouthamg/t5_paraphraser,paraphrase,types of dysarthria from cerebral palsy,what are the types of dysarthria from cerebral palsy,TRUE,TRUE
trec-dl-2019,573724,ramsrigouthamg/t5_paraphraser,paraphrase,what are the social determinants of health,what are social determinants of health,FALSE,FALSE
trec-dl-2019,87181,ramsrigouthamg/t5_paraphraser,paraphrase,causes of left ventricular hypertrophy,what causes left ventricular hypertrophy,TRUE,TRUE
trec-dl-2019,87452,ramsrigouthamg/t5_paraphraser,paraphrase,causes of military suicide,what are the causes of military suicide,TRUE,TRUE
trec-dl-2019,1037798,t5_uqv_paraphraser,paraphrase,who is robert gray,robert gray,TRUE,FALSE
trec-dl-2019,1117099,t5_uqv_paraphraser,paraphrase,what is a active margin,what is an active margin,TRUE,TRUE
trec-dl-2019,130510,t5_uqv_paraphraser,paraphrase,definition declaratory judgment,definition of declaratory judgment,TRUE,TRUE
trec-dl-2019,131843,t5_uqv_paraphraser,paraphrase,definition of a sigmet,sigmet definition,TRUE,TRUE
trec-dl-2019,146187,t5_uqv_paraphraser,paraphrase,difference between a mcdouble and a double cheeseburger,what is the difference between a mcdouble and a double cheeseburger,TRUE,FALSE
trec-dl-2019,148538,t5_uqv_paraphraser,paraphrase,difference between rn and bsn,what is the difference between rn and bsn,TRUE,TRUE
trec-dl-2019,156493,t5_uqv_paraphraser,paraphrase,do goldfish grow,how does goldfish grow,TRUE,TRUE
trec-dl-2019,183378,t5_uqv_paraphraser,paraphrase,exons definition biology,exons biology,TRUE,TRUE
trec-dl-2019,264014,t5_uqv_paraphraser,paraphrase,how long is life cycle of flea,how long is the life cycle of fleas,TRUE,TRUE
trec-dl-2019,405717,t5_uqv_paraphraser,paraphrase,is cdg airport in main paris,cdg airport in main paris,TRUE,FALSE
trec-dl-2019,451602,t5_uqv_paraphraser,paraphrase,medicare s definition of mechanical ventilation,what is the definition of mechanical ventilation,FALSE,FALSE
trec-dl-2019,489204,t5_uqv_paraphraser,paraphrase,right pelvic pain causes,what are the causes of pelvic pain,TRUE,TRUE
